source	name	smiles	can_smi	can_taut	can_taut_strip_stereo	InChI	InChIKey	Molecular_Weight	Molecular_Formula	CanonicalTautomer	NumberOfTautomers
from NCGCCanonicalForm.java	GLYOXYLATE	[O-]C(C=O)=O	OC(=O)C=O	OC(=O)C=O	OC(=O)C=O	InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)	HHLFWLYXYJOTON-UHFFFAOYSA-N	74.03547	C2H2O3		
from NCGCCanonicalForm.java	DINITROBENZOATE	[O-]C(c1c([N+](=O)[O-])c([N+](=O)[O-])ccc1)=O	OC(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	OC(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	OC(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C7H4N2O6/c10-7(11)4-2-1-3-5(8(12)13)6(4)9(14)15/h1-3H,(H,10,11)	HCSBTDBGTNZOAB-UHFFFAOYSA-N	212.11646	C7H4N2O6		
from NCGCCanonicalForm.java	NITROBENZOATE	[O-]C(c1c([N+](=O)[O-])cccc1)=O	OC(=O)c1ccccc1[N+](=O)[O-]	OC(=O)c1ccccc1[N+](=O)[O-]	OC(=O)c1ccccc1[N+](=O)[O-]	InChI=1S/C7H5NO4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)	SLAMLWHELXOEJZ-UHFFFAOYSA-N	167.1189	C7H5NO4		
from NCGCCanonicalForm.java	TETRAHYDROPHTHALATE	[O-]C(C1C(C(=O)[O-])C=CCC1)=O	OC(=O)C1CCC=CC1C(=O)O	OC(=O)C1CCC=CC1C(=O)O	OC(=O)C1CCC=CC1C(=O)O	InChI=1S/C8H10O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1,3,5-6H,2,4H2,(H,9,10)(H,11,12)	IFDVQVHZEKPUSC-UHFFFAOYSA-N	170.1626	C8H10O4		
from NCGCCanonicalForm.java	PHTHALATE	[O-]C(c1c(C(=O)[O-])cccc1)=O	OC(=O)c1ccccc1C(=O)O	OC(=O)c1ccccc1C(=O)O	OC(=O)c1ccccc1C(=O)O	InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)	XNGIFLGASWRNHJ-UHFFFAOYSA-N	166.13084	C8H6O4		
from NCGCCanonicalForm.java	ISOPHTHALATE	[O-]C(c1cc(C(=O)[O-])ccc1)=O	OC(=O)c1cccc(c1)C(=O)O	OC(=O)c1cccc(c1)C(=O)O	OC(=O)c1cccc(c1)C(=O)O	InChI=1S/C8H6O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)(H,11,12)	QQVIHTHCMHWDBS-UHFFFAOYSA-N	166.13084	C8H6O4		
from NCGCCanonicalForm.java	BENZOATE	[O-]C(c1ccccc1)=O	OC(=O)c1ccccc1	OC(=O)c1ccccc1	OC(=O)c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)	WPYMKLBDIGXBTP-UHFFFAOYSA-N	122.12134	C7H6O2		
from NCGCCanonicalForm.java	MONOBENZOATE	[O-]C(c1ccccc1)=O	OC(=O)c1ccccc1	OC(=O)c1ccccc1	OC(=O)c1ccccc1	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)	WPYMKLBDIGXBTP-UHFFFAOYSA-N	122.12134	C7H6O2		
from NCGCCanonicalForm.java	ISONICOTINATE	[O-]C(c1ccncc1)=O	OC(=O)c1ccncc1	OC(=O)c1ccncc1	OC(=O)c1ccncc1	InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)	TWBYWOBDOCUKOW-UHFFFAOYSA-N	123.1094	C6H5NO2		
from NCGCCanonicalForm.java	NICOTINATE	[O-]C(c1cnccc1)=O	OC(=O)c1cccnc1	OC(=O)c1cccnc1	OC(=O)c1cccnc1	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	PVNIIMVLHYAWGP-UHFFFAOYSA-N	123.1094	C6H5NO2		
from NCGCCanonicalForm.java	FUROATE	[O-]C(c1occc1)=O	OC(=O)c1occc1	OC(=O)c1occc1	OC(=O)c1occc1	InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)	SMNDYUVBFMFKNZ-UHFFFAOYSA-N	112.08346	C5H4O3		
from NCGCCanonicalForm.java	MALONATE	[O-]C(CC(=O)[O-])=O	OC(=O)CC(=O)O	OC(=O)CC(=O)O	OC(=O)CC(=O)O	InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)	OFOBLEOULBTSOW-UHFFFAOYSA-N	104.06146	C3H4O4		
from NCGCCanonicalForm.java	SUCCINATE	[O-]C(CCC(=O)[O-])=O	OC(=O)CCC(=O)O	OC(=O)CCC(=O)O	OC(=O)CCC(=O)O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	KDYFGRWQOYBRFD-UHFFFAOYSA-N	118.08804	C4H6O4		
from NCGCCanonicalForm.java	CYCLOPENTANEPROPIONATE	[O-]C(CCC1CCCC1)=O	OC(=O)CCC1CCCC1	OC(=O)CCC1CCCC1	OC(=O)CCC1CCCC1	InChI=1S/C8H14O2/c9-8(10)6-5-7-3-1-2-4-7/h7H,1-6H2,(H,9,10)	ZRPLANDPDWYOMZ-UHFFFAOYSA-N	142.19556	C8H14O2		
from NCGCCanonicalForm.java	CYPIONATE	[O-]C(CCC1CCCC1)=O	OC(=O)CCC1CCCC1	OC(=O)CCC1CCCC1	OC(=O)CCC1CCCC1	InChI=1S/C8H14O2/c9-8(10)6-5-7-3-1-2-4-7/h7H,1-6H2,(H,9,10)	ZRPLANDPDWYOMZ-UHFFFAOYSA-N	142.19556	C8H14O2		
from NCGCCanonicalForm.java	CYCLOHEXANEPROPIONATE	[O-]C(CCC1CCCCC1)=O	OC(=O)CCC1CCCCC1	OC(=O)CCC1CCCCC1	OC(=O)CCC1CCCCC1	InChI=1S/C9H16O2/c10-9(11)7-6-8-4-2-1-3-5-8/h8H,1-7H2,(H,10,11)	HJZLEGIHUQOJBA-UHFFFAOYSA-N	156.22214	C9H16O2		
from NCGCCanonicalForm.java	ADIPATE	[O-]C(CCCCC(=O)[O-])=O	OC(=O)CCCCC(=O)O	OC(=O)CCCCC(=O)O	OC(=O)CCCCC(=O)O	InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)	WNLRTRBMVRJNCN-UHFFFAOYSA-N	146.1412	C6H10O4		
from NCGCCanonicalForm.java	UNDEC-10-ENOATE	[O-]C(CCCCCCCCC=C)=O	OC(=O)CCCCCCCCC=C	OC(=O)CCCCCCCCC=C	OC(=O)CCCCCCCCC=C	InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)	FRPZMMHWLSIFAZ-UHFFFAOYSA-N	184.2753	C11H20O2		
from NCGCCanonicalForm.java	HIPPURATE	[O-]C(CNC(c1ccccc1)=O)=O	OC(=O)CNC(=O)c1ccccc1	OC(=O)CNC(=O)c1ccccc1	OC(=O)CNC(=O)c1ccccc1	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	QIAFMBKCNZACKA-UHFFFAOYSA-N	179.17265	C9H9NO3	Yes	2
from NCGCCanonicalForm.java	FORMATE	[O-]C=O	OC=O	OC=O	OC=O	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)	BDAGIHXWWSANSR-UHFFFAOYSA-N	46.02538	CH2O2		
from NCGCCanonicalForm.java	PERCHLORATE	[O-]Cl(=O)(=O)=O	OCl(=O)(=O)=O	OCl(=O)(=O)=O	OCl(=O)(=O)=O	InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)	VLTRZXGMWDSKGL-UHFFFAOYSA-N	100.45853	ClHO4		
from NCGCCanonicalForm.java	PHOSPHITE	[O-]P([O-])[O-]	OP(O)O	OP(O)O	OP(O)O	InChI=1S/H3O3P/c1-4(2)3/h1-3H	OJMIONKXNSYLSR-UHFFFAOYSA-N	81.99578	H3O3P		
from NCGCCanonicalForm.java	ORTHOPHOSPHATE	[O-]P(=O)([O-])[O-]	OP(=O)(O)O	OP(=O)(O)O	OP(=O)(O)O	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	NBIIXXVUZAFLBC-UHFFFAOYSA-N	97.99518	H3O4P		
from NCGCCanonicalForm.java	PHOSPHATE	[O-]P(=O)([O-])[O-]	OP(=O)(O)O	OP(=O)(O)O	OP(=O)(O)O	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	NBIIXXVUZAFLBC-UHFFFAOYSA-N	97.99518	H3O4P		
from NCGCCanonicalForm.java	DIPHOSPHATE	[O-]P(OP(=O)([O-])[O-])(=O)[O-]	OP(=O)(O)OP(=O)(O)O	OP(=O)(O)OP(=O)(O)O	OP(=O)(O)OP(=O)(O)O	InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)	XPPKVPWEQAFLFU-UHFFFAOYSA-N	177.97508	H4O7P2		
from NCGCCanonicalForm.java	SULFATE	[O-]S(=O)(=O)[O-]	OS(=O)(=O)O	OS(=O)(=O)O	OS(=O)(=O)O	InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)	QAOWNCQODCNURD-UHFFFAOYSA-N	98.07847	H2O4S		
from NCGCCanonicalForm.java	SULPHATE	[O-]S(=O)(=O)[O-]	OS(=O)(=O)O	OS(=O)(=O)O	OS(=O)(=O)O	InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)	QAOWNCQODCNURD-UHFFFAOYSA-N	98.07847	H2O4S		
from NCGCCanonicalForm.java	FLUOROSULFONATE	[O-]S(=O)(=O)F	OS(=O)(=O)F	OS(=O)(=O)F	OS(=O)(=O)F	InChI=1S/FHO3S/c1-5(2,3)4/h(H,2,3,4)	UQSQSQZYBQSBJZ-UHFFFAOYSA-N	100.06954	FHO3S		
from NCGCCanonicalForm.java	FLUOROSULPHONATE	[O-]S(=O)(=O)F	OS(=O)(=O)F	OS(=O)(=O)F	OS(=O)(=O)F	InChI=1S/FHO3S/c1-5(2,3)4/h(H,2,3,4)	UQSQSQZYBQSBJZ-UHFFFAOYSA-N	100.06954	FHO3S		
from NCGCCanonicalForm.java	SULFITE	[O-]S(=O)[O-]	OS(=O)O	OS(=O)O	OS(=O)O	InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)	LSNNMFCWUKXFEE-UHFFFAOYSA-N	82.07907	H2O3S		
from NCGCCanonicalForm.java	SULPHITE	[O-]S(=O)[O-]	OS(=O)O	OS(=O)O	OS(=O)O	InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)	LSNNMFCWUKXFEE-UHFFFAOYSA-N	82.07907	H2O3S		
from NCGCCanonicalForm.java	1,5-NAPHTHALENEDISULFONATE	[O-]S(c1c(c2ccc1)cccc2S(=O)(=O)[O-])(=O)=O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	InChI=1S/C10H8O6S2/c11-17(12,13)9-5-1-3-7-8(9)4-2-6-10(7)18(14,15)16/h1-6H,(H,11,12,13)(H,14,15,16)	XTEGVFVZDVNBPF-UHFFFAOYSA-N	288.29692	C10H8O6S2		
from NCGCCanonicalForm.java	1,5-NAPHTHALENEDISULPHONATE	[O-]S(c1c(c2ccc1)cccc2S(=O)(=O)[O-])(=O)=O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	OS(=O)(=O)c1cccc2c(cccc12)S(=O)(=O)O	InChI=1S/C10H8O6S2/c11-17(12,13)9-5-1-3-7-8(9)4-2-6-10(7)18(14,15)16/h1-6H,(H,11,12,13)(H,14,15,16)	XTEGVFVZDVNBPF-UHFFFAOYSA-N	288.29692	C10H8O6S2		
from NCGCCanonicalForm.java	2-NAPHTHALENESULFONATE	[O-]S(c1cc(c2cc1)cccc2)(=O)=O	OS(=O)(=O)c1ccc2ccccc2c1	OS(=O)(=O)c1ccc2ccccc2c1	OS(=O)(=O)c1ccc2ccccc2c1	InChI=1S/C10H8O3S/c11-14(12,13)10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,(H,11,12,13)	KVBGVZZKJNLNJU-UHFFFAOYSA-N	208.23371	C10H8O3S		
from NCGCCanonicalForm.java	2-NAPHTHALENESULPHONATE	[O-]S(c1cc(c2cc1)cccc2)(=O)=O	OS(=O)(=O)c1ccc2ccccc2c1	OS(=O)(=O)c1ccc2ccccc2c1	OS(=O)(=O)c1ccc2ccccc2c1	InChI=1S/C10H8O3S/c11-14(12,13)10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,(H,11,12,13)	KVBGVZZKJNLNJU-UHFFFAOYSA-N	208.23371	C10H8O3S		
from NCGCCanonicalForm.java	p-CHLOROBENZENESULFONATE	[O-]S(c1ccc(Cl)cc1)(=O)=O	OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	InChI=1S/C6H5ClO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)	RJWBTWIBUIGANW-UHFFFAOYSA-N	192.6201	C6H5ClO3S		
from NCGCCanonicalForm.java	p-CHLOROBENZENESULPHONATE	[O-]S(c1ccc(Cl)cc1)(=O)=O	OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	InChI=1S/C6H5ClO3S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4H,(H,8,9,10)	RJWBTWIBUIGANW-UHFFFAOYSA-N	192.6201	C6H5ClO3S		
from NCGCCanonicalForm.java	BENZENESULFONATE	[O-]S(c1ccccc1)(=O)=O	OS(=O)(=O)c1ccccc1	OS(=O)(=O)c1ccccc1	OS(=O)(=O)c1ccccc1	InChI=1S/C6H6O3S/c7-10(8,9)6-4-2-1-3-5-6/h1-5H,(H,7,8,9)	SRSXLGNVWSONIS-UHFFFAOYSA-N	158.17504	C6H6O3S		
from NCGCCanonicalForm.java	1,2-ETHANEDISULFONATE	[O-]S(CCS(=O)(=O)[O-])(=O)=O	OS(=O)(=O)CCS(=O)(=O)O	OS(=O)(=O)CCS(=O)(=O)O	OS(=O)(=O)CCS(=O)(=O)O	InChI=1S/C2H6O6S2/c3-9(4,5)1-2-10(6,7)8/h1-2H2,(H,3,4,5)(H,6,7,8)	AFAXGSQYZLGZPG-UHFFFAOYSA-N	190.19544	C2H6O6S2		
from NCGCCanonicalForm.java	1,2-ETHANEDISULPHONATE	[O-]S(CCS(=O)(=O)[O-])(=O)=O	OS(=O)(=O)CCS(=O)(=O)O	OS(=O)(=O)CCS(=O)(=O)O	OS(=O)(=O)CCS(=O)(=O)O	InChI=1S/C2H6O6S2/c3-9(4,5)1-2-10(6,7)8/h1-2H2,(H,3,4,5)(H,6,7,8)	AFAXGSQYZLGZPG-UHFFFAOYSA-N	190.19544	C2H6O6S2		
from NCGCCanonicalForm.java	N-CYCLOHEXYLSULFAMATE	[O-]S(NC1CCCCC1)(=O)=O	OS(=O)(=O)NC1CCCCC1	OS(=O)(=O)NC1CCCCC1	OS(=O)(=O)NC1CCCCC1	InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)	HCAJEUSONLESMK-UHFFFAOYSA-N	179.23732	C6H13NO3S		
from NCGCCanonicalForm.java	N-CYCLOHEXYLSULPHAMATE	[O-]S(NC1CCCCC1)(=O)=O	OS(=O)(=O)NC1CCCCC1	OS(=O)(=O)NC1CCCCC1	OS(=O)(=O)NC1CCCCC1	InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)	HCAJEUSONLESMK-UHFFFAOYSA-N	179.23732	C6H13NO3S		
from NCGCCanonicalForm.java	THIOCYANATE	[S-]C#N	SC#N	SC#N	SC#N	InChI=1S/CHNS/c2-1-3/h3H	ZMZDMBWJUHKJPS-UHFFFAOYSA-N	59.09034	CHNS		
from NCGCCanonicalForm.java	ISOPROPYL	C[CH]C	C[CH]C	C[CH]C	C[CH]C	InChI=1S/C3H7/c1-3-2/h3H,1-2H3	HNUALPPJLMYHDK-UHFFFAOYSA-N	43.08768	C3H7		
from NCGCCanonicalForm.java	CHOLINE	C[N+](CCO)(C)C	C[N+](C)(C)CCO	C[N+](C)(C)CCO	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	OEYIOHPDSNJKLS-UHFFFAOYSA-N	104.17075	C5H14NO		
from NCGCCanonicalForm.java	DICYCLOHEXYLAMMONIUM	C1CCC([NH2+]C2CCCCC2)CC1	C1CCC(CC1)[NH2+]C2CCCCC2	C1CCC(CC1)[NH2+]C2CCCCC2	C1CCC(CC1)[NH2+]C2CCCCC2	InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2/p+1	XBPCUCUWBYBCDP-UHFFFAOYSA-O	182.32566	C12H24N		
from NCGCCanonicalForm.java	ACETATE	CC(=O)[O-]	CC(=O)O	CC(=O)O	CC(=O)O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	QTBSBXVTEAMEQO-UHFFFAOYSA-N	60.05196	C2H4O2		
from NCGCCanonicalForm.java	PIVALATE	CC(C(=O)[O-])(C)C	CC(C)(C)C(=O)O	CC(C)(C)C(=O)O	CC(C)(C)C(=O)O	InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)	IUGYQRQAERSCNH-UHFFFAOYSA-N	102.1317	C5H10O2		
from NCGCCanonicalForm.java	TRIMETHYLACETATE	CC(C(=O)[O-])(C)C	CC(C)(C)C(=O)O	CC(C)(C)C(=O)O	CC(C)(C)C(=O)O	InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)	IUGYQRQAERSCNH-UHFFFAOYSA-N	102.1317	C5H10O2		
from NCGCCanonicalForm.java	ISOBUTYRATE	CC(C(=O)[O-])C	CC(C)C(=O)O	CC(C)C(=O)O	CC(C)C(=O)O	InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)	KQNPFQTWMSNSAP-UHFFFAOYSA-N	88.10512	C4H8O2		
from NCGCCanonicalForm.java	LACTATE	CC(C(=O)[O-])O	CC(O)C(=O)O	CC(O)C(=O)O	CC(O)C(=O)O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	90.07794	C3H6O3		
from NCGCCanonicalForm.java	PANTOTHENATE	CC(C(C(NCCC(=O)[O-])=O)O)(CO)C	CC(C)(CO)C(O)C(=O)NCCC(=O)O	CC(C)(CO)C(O)C(=O)NCCC(=O)O	CC(C)(CO)C(O)C(=O)NCCC(=O)O	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	GHOKWGTUZJEAQD-UHFFFAOYSA-N	219.23498	C9H17NO5	Yes	3
from NCGCCanonicalForm.java	4-METHYLBICYCLO[2.2.2]OCT-2-ENE-1-CARBOXYLATE	CC(C=C1)(CC2)CCC12C(=O)[O-]	CC12CCC(CC1)(C=C2)C(=O)O	CC12CCC(CC1)(C=C2)C(=O)O	CC12CCC(CC1)(C=C2)C(=O)O	InChI=1S/C10H14O2/c1-9-2-5-10(6-3-9,7-4-9)8(11)12/h2,5H,3-4,6-7H2,1H3,(H,11,12)	AMMPLVWPWSYRDR-UHFFFAOYSA-N	166.21696	C10H14O2		
from NCGCCanonicalForm.java	CAMPHOR-10-SULFONATE	CC(C1(CS(=O)(=O)[O-])CC2)(C2CC1=O)C	CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2	CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2	CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2	InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)	MIOPJNTWMNEORI-UHFFFAOYSA-N	232.29664	C10H16O4S	Yes	2
from NCGCCanonicalForm.java	LEVULINATE	CC(CCC(=O)[O-])=O	CC(=O)CCC(=O)O	CC(=O)CCC(=O)O	CC(=O)CCC(=O)O	InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)	JOOXCMJARBKPKM-UHFFFAOYSA-N	116.11522	C5H8O3	Yes	3
from NCGCCanonicalForm.java	4-OXOPENTANOATE	CC(CCC(=O)[O-])=O	CC(=O)CCC(=O)O	CC(=O)CCC(=O)O	CC(=O)CCC(=O)O	InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)	JOOXCMJARBKPKM-UHFFFAOYSA-N	116.11522	C5H8O3	Yes	3
from NCGCCanonicalForm.java	ISOCAPROATE	CC(CCC(=O)[O-])C	CC(C)CCC(=O)O	CC(C)CCC(=O)O	CC(C)CCC(=O)O	InChI=1S/C6H12O2/c1-5(2)3-4-6(7)8/h5H,3-4H2,1-2H3,(H,7,8)	FGKJLKRYENPLQH-UHFFFAOYSA-N	116.15828	C6H12O2		
from NCGCCanonicalForm.java	t-BUTYLAMINE	CC(N)(C)C	CC(C)(C)N	CC(C)(C)N	CC(C)(C)N	InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3	YBRBMKDOPFTVDT-UHFFFAOYSA-N	73.13683	C4H11N		
from NCGCCanonicalForm.java	ACETURATE	CC(NCC(=O)[O-])=O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)	OKJIRPAQVSHGFK-UHFFFAOYSA-N	117.10328	C4H7NO3	Yes	3
from NCGCCanonicalForm.java	N-ACETYLGLYCINATE	CC(NCC(=O)[O-])=O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)	OKJIRPAQVSHGFK-UHFFFAOYSA-N	117.10328	C4H7NO3	Yes	3
from NCGCCanonicalForm.java	N-Acetylglycinate	CC(NCC(=O)[O-])=O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	CC(=O)NCC(=O)O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)	OKJIRPAQVSHGFK-UHFFFAOYSA-N	117.10328	C4H7NO3	Yes	3
from NCGCCanonicalForm.java	t-BUTYL ACETATE	CC(OC(C)(C)C)=O	CC(=O)OC(C)(C)C	CC(=O)OC(C)(C)C	CC(=O)OC(C)(C)C	InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3	WMOVHXAZOJBABW-UHFFFAOYSA-N	116.15828	C6H12O2	Yes	2
