source	smiles	name	atomArray	can_smi	can_taut	can_taut_strip_stereo	Molecular_Formula	Molecular_Weight	CanonicalTautomer	NumberOfTautomers
from NCGCCanonicalForm.java	OC(C(=O)O)C(C(=O)O)O	BITARTRATE		OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	C4H6O6	150.08684		
from NCGCCanonicalForm.java	OB(O)O	BORATE		OB(O)O	OB(O)O	OB(O)O	BH3O3	61.83302		
from NCGCCanonicalForm.java	CCCC(=O)[O-]	butanoate		CCCC(=O)[O-]	CCCC(=O)[O-]	CCCC(=O)[O-]	C4H7O2	87.09718		
from NCGCCanonicalForm.java	CC(OC(C)(C)C)=O	t-BUTYL ACETATE		CC(=O)OC(C)(C)C	CC(=O)OC(C)(C)C	CC(=O)OC(C)(C)C	C6H12O2	116.15828		
from NCGCCanonicalForm.java	CC(N)(C)C	t-BUTYLAMINE		CC(C)(C)N	CC(C)(C)N	CC(C)(C)N	C4H11N	73.13683		
from NCGCCanonicalForm.java	CCCC(=O)[O-]	BUTYLATE		CCCC(=O)[O-]	CCCC(=O)[O-]	CCCC(=O)[O-]	C4H7O2	87.09718		
from NCGCCanonicalForm.java	CCCC(=O)[O-]	BUTYRATE		CCCC(=O)[O-]	CCCC(=O)[O-]	CCCC(=O)[O-]	C4H7O2	87.09718		
from NCGCCanonicalForm.java	CC(C1(CS(=O)(=O)[O-])CC2)(C2CC1=O)C	CAMPHOR-10-SULFONATE		CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2	CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2	CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2	C10H15O4S	231.2887		
from NCGCCanonicalForm.java	CCCCCC(=O)[O-]	CAPROATE		CCCCCC(=O)[O-]	CCCCCC(=O)[O-]	CCCCCC(=O)[O-]	C6H11O2	115.15033		
from NCGCCanonicalForm.java	NC(=O)[O-]	CARBAMATE		NC(=O)[O-]	NC(=O)[O-]	NC(=O)[O-]	CH2NO2	60.03208		
from NCGCCanonicalForm.java	[O-]C(=O)[O-]	CARBONATE		[O-]C(=O)[O-]	[O-]C(=O)[O-]	[O-]C(=O)[O-]	CO3	60.0089		
from NCGCCanonicalForm.java	[O-]S(c1ccc(Cl)cc1)(=O)=O	p-CHLOROBENZENESULFONATE		[O-]S(=O)(=O)c1ccc(Cl)cc1	[O-]S(=O)(=O)c1ccc(Cl)cc1	[O-]S(=O)(=O)c1ccc(Cl)cc1	C6H4ClO3S	191.61216		
from NCGCCanonicalForm.java	[O-]S(c1ccc(Cl)cc1)(=O)=O	p-CHLOROBENZENESULPHONATE		[O-]S(=O)(=O)c1ccc(Cl)cc1	[O-]S(=O)(=O)c1ccc(Cl)cc1	[O-]S(=O)(=O)c1ccc(Cl)cc1	C6H4ClO3S	191.61216		
from NCGCCanonicalForm.java	CN1C(=O)c(c2N(C(=O)[O-])C1=O)[nH]c(Cl)n2	8-CHLOROTHEOPHYLLINATE		CN1C(=O)N(C(=O)[O-])c2nc(Cl)[nH]c2C1=O	CN1C(=O)N(C(=O)[O-])c2[nH]c(Cl)nc2C1=O	CN1C(=O)N(C(=O)[O-])c2[nH]c(Cl)nc2C1=O	C7H4ClN4O4	243.58405	Yes	3
from NCGCCanonicalForm.java	C[N+](CCO)(C)C	CHOLINE		C[N+](C)(C)CCO	C[N+](C)(C)CCO	C[N+](C)(C)CCO	C5H14NO	104.17075		
from NCGCCanonicalForm.java	[O-]C(\C=C\c1ccccc1)=O	CINNAMATE		[O-]C(=O)\C=C\c1ccccc1	[O-]C(=O)\C=C\c1ccccc1	[O-]C(=O)C=Cc1ccccc1	C9H7O2	147.15068		
from NCGCCanonicalForm.java	OC(C(=O)[O-])(CC(=O)[O-])CC(=O)[O-]	CITRATE		OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]	OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]	OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-]	C6H5O7	189.0997		
from NCGCCanonicalForm.java	OS(c1ccc(Cl)cc1)(=O)=O	CLOSILATE		OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	OS(=O)(=O)c1ccc(Cl)cc1	C6H5ClO3S	192.6201		
from NCGCCanonicalForm.java	[O-]C(CCC1CCCCC1)=O	CYCLOHEXANEPROPIONATE		[O-]C(=O)CCC1CCCCC1	[O-]C(=O)CCC1CCCCC1	[O-]C(=O)CCC1CCCCC1	C9H15O2	155.2142		
from NCGCCanonicalForm.java	[NH3+]C1CCCCC1	CYCLOHEXYLAMMONIUM		[NH3+]C1CCCCC1	[NH3+]C1CCCCC1	[NH3+]C1CCCCC1	C6H14N	100.18206		
from NCGCCanonicalForm.java	OC(CCC1CCCCC1)=O	CYCLOHEXYLPROPIONATE		OC(=O)CCC1CCCCC1	OC(=O)CCC1CCCCC1	OC(=O)CCC1CCCCC1	C9H16O2	156.22214		
from NCGCCanonicalForm.java	[O-]S(NC1CCCCC1)(=O)=O	N-CYCLOHEXYLSULFAMATE		[O-]S(=O)(=O)NC1CCCCC1	[O-]S(=O)(=O)NC1CCCCC1	[O-]S(=O)(=O)NC1CCCCC1	C6H12NO3S	178.22938		
from NCGCCanonicalForm.java	[O-]S(NC1CCCCC1)(=O)=O	N-CYCLOHEXYLSULPHAMATE		[O-]S(=O)(=O)NC1CCCCC1	[O-]S(=O)(=O)NC1CCCCC1	[O-]S(=O)(=O)NC1CCCCC1	C6H12NO3S	178.22938		
from NCGCCanonicalForm.java	[O-]C(CCC1CCCC1)=O	CYCLOPENTANEPROPIONATE		[O-]C(=O)CCC1CCCC1	[O-]C(=O)CCC1CCCC1	[O-]C(=O)CCC1CCCC1	C8H13O2	141.18762		
from NCGCCanonicalForm.java	[O-]C(CCC1CCCC1)=O	CYPIONATE		[O-]C(=O)CCC1CCCC1	[O-]C(=O)CCC1CCCC1	[O-]C(=O)CCC1CCCC1	C8H13O2	141.18762		
from NCGCCanonicalForm.java	CCCCCCCC(=O)[O-]	OCTANOATE		CCCCCCCC(=O)[O-]	CCCCCCCC(=O)[O-]	CCCCCCCC(=O)[O-]	C8H15O2	143.2035		
from NCGCCanonicalForm.java	CCCCCCCCCC(=O)[O-]	DECANOATE		CCCCCCCCCC(=O)[O-]	CCCCCCCCCC(=O)[O-]	CCCCCCCCCC(=O)[O-]	C10H19O2	171.25666		
from NCGCCanonicalForm.java	C1CCC([NH2+]C2CCCCC2)CC1	DICYCLOHEXYLAMMONIUM		C1CCC(CC1)[NH2+]C2CCCCC2	C1CCC(CC1)[NH2+]C2CCCCC2	C1CCC(CC1)[NH2+]C2CCCCC2	C12H24N	182.32566		
from NCGCCanonicalForm.java	OCCNCCO	DIETHANOLAMINE		OCCNCCO	OCCNCCO	OCCNCCO	C4H11NO2	105.13563		
from NCGCCanonicalForm.java	CCNCC	DIETHYLAMINE		CCNCC	CCNCC	CCNCC	C4H11N	73.13684		
from NCGCCanonicalForm.java	CC[NH2+]CC	DIETHYLAMMONIUM		CC[NH2+]CC	CC[NH2+]CC	CC[NH2+]CC	C4H12N	74.14478		
from NCGCCanonicalForm.java	OC(CC(C(=O)O)(CC(=O)O)O)=O	DIHYDROGEN CITRATE		OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	OC(=O)CC(O)(CC(=O)O)C(=O)O	C6H8O7	192.12352		
from NCGCCanonicalForm.java	OP(=O)(O)O	DIHYDROGEN PHOSPHATE		OP(=O)(O)O	OP(=O)(O)O	OP(=O)(O)O	H3O4P	97.99518		
from NCGCCanonicalForm.java	Oc1c(O)c(C(=O)[O-])ccc1	DIHYDROXYBENZOATE		Oc1cccc(C(=O)[O-])c1O	Oc1cccc(C(=O)[O-])c1O	Oc1cccc(C(=O)[O-])c1O	C7H5O4	153.11219		
from NCGCCanonicalForm.java	CN(CCC(=O)O)C	N,N-DIMETHYL-beta-ALANINE		CN(C)CCC(=O)O	CN(C)CCC(=O)O	CN(C)CCC(=O)O	C5H11NO2	117.14634		
from NCGCCanonicalForm.java	[O-]C(c1c([N+](=O)[O-])c([N+](=O)[O-])ccc1)=O	DINITROBENZOATE		[O-]C(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	[O-]C(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	[O-]C(=O)c1cccc(c1[N+](=O)[O-])[N+](=O)[O-]	C7H3N2O6	211.10852		
from NCGCCanonicalForm.java	[O-]P(OP(=O)([O-])[O-])(=O)[O-]	DIPHOSPHATE		[O-]P(=O)([O-])OP(=O)([O-])[O-]	[O-]P(=O)([O-])OP(=O)([O-])[O-]	[O-]P(=O)([O-])OP(=O)([O-])[O-]	O7P2	173.94332		
from NCGCCanonicalForm.java	Oc1c(Cc2c(c3cc(C(=O)[O-])c2O)cccc3)c(c4cc1C(=O)[O-])cccc4	EMBONATE		Oc1c(Cc2c(O)c(cc3ccccc23)C(=O)[O-])c4ccccc4cc1C(=O)[O-]	Oc1c(Cc2c(O)c(cc3ccccc23)C(=O)[O-])c4ccccc4cc1C(=O)[O-]	Oc1c(Cc2c(O)c(cc3ccccc23)C(=O)[O-])c4ccccc4cc1C(=O)[O-]	C23H14O6	386.35365		
from NCGCCanonicalForm.java	CCCCCCC(=O)[O-]	ENANTHATE		CCCCCCC(=O)[O-]	CCCCCCC(=O)[O-]	CCCCCCC(=O)[O-]	C7H13O2	129.17692		
from NCGCCanonicalForm.java	CCS(=O)(=O)O	ESYLATE		CCS(=O)(=O)O	CCS(=O)(=O)O	CCS(=O)(=O)O	C2H6O3S	110.13223		
from NCGCCanonicalForm.java	[O-]S(CCS(=O)(=O)[O-])(=O)=O	1,2-ETHANEDISULFONATE		[O-]S(=O)(=O)CCS(=O)(=O)[O-]	[O-]S(=O)(=O)CCS(=O)(=O)[O-]	[O-]S(=O)(=O)CCS(=O)(=O)[O-]	C2H4O6S2	188.17956		
from NCGCCanonicalForm.java	[O-]S(CCS(=O)(=O)[O-])(=O)=O	1,2-ETHANEDISULPHONATE		[O-]S(=O)(=O)CCS(=O)(=O)[O-]	[O-]S(=O)(=O)CCS(=O)(=O)[O-]	[O-]S(=O)(=O)CCS(=O)(=O)[O-]	C2H4O6S2	188.17956		
from NCGCCanonicalForm.java	CCS(=O)(=O)[O-]	ETHANESULFONATE		CCS(=O)(=O)[O-]	CCS(=O)(=O)[O-]	CCS(=O)(=O)[O-]	C2H5O3S	109.12429		
from NCGCCanonicalForm.java	CCS(=O)(=O)[O-]	ETHANESULPHONATE		CCS(=O)(=O)[O-]	CCS(=O)(=O)[O-]	CCS(=O)(=O)[O-]	C2H5O3S	109.12429		
from NCGCCanonicalForm.java	NCCO	ETHANOLAMINE		NCCO	NCCO	NCCO	C2H7NO	61.08308		
from NCGCCanonicalForm.java	CCN	ETHYLAMINE		CCN	CCN	CCN	C2H7N	45.08368		
from NCGCCanonicalForm.java	CC[NH3+]	ETHYLAMMONIUM		CC[NH3+]	CC[NH3+]	CC[NH3+]	C2H8N	46.09162		
from NCGCCanonicalForm.java	NCCN	ETHYLENEDIAMINE		NCCN	NCCN	NCCN	C2H8N2	60.09832		
from NCGCCanonicalForm.java	CCCCC(C(=O)[O-])CC	ETHYLHEXANOATE		CCCCC(CC)C(=O)[O-]	CCCCC(CC)C(=O)[O-]	CCCCC(CC)C(=O)[O-]	C8H15O2	143.2035		
from NCGCCanonicalForm.java	CCC(C(=O)[O-])CC(=O)[O-]	ETHYLSUCCINATE		CCC(CC(=O)[O-])C(=O)[O-]	CCC(CC(=O)[O-])C(=O)[O-]	CCC(CC(=O)[O-])C(=O)[O-]	C6H8O4	144.12531		
from NCGCCanonicalForm.java	[O-]S(=O)(=O)F	FLUOROSULFONATE		[O-]S(=O)(=O)F	[O-]S(=O)(=O)F	[O-]S(=O)(=O)F	FO3S	99.0616		
from NCGCCanonicalForm.java	[O-]S(=O)(=O)F	FLUOROSULPHONATE		[O-]S(=O)(=O)F	[O-]S(=O)(=O)F	[O-]S(=O)(=O)F	FO3S	99.0616		
from NCGCCanonicalForm.java	[O-]C=O	FORMATE		[O-]C=O	[O-]C=O	[O-]C=O	CHO2	45.01744		
from NCGCCanonicalForm.java	[O-]C(\C=C\C(=O)[O-])=O	FUMARATE		[O-]C(=O)\C=C\C(=O)[O-]	[O-]C(=O)\C=C\C(=O)[O-]	[O-]C(=O)C=CC(=O)[O-]	C4H2O4	114.05627		
from NCGCCanonicalForm.java	[O-]C(c1occc1)=O	FUROATE		[O-]C(=O)c1occc1	[O-]C(=O)c1occc1	[O-]C(=O)c1occc1	C5H3O3	111.07552		
from NCGCCanonicalForm.java	O[C@H]([C@@H](C(=O)[O-])O)[C@@H]([C@H](C(=O)[O-])O)O	GLUCARATE		O[C@@H]([C@H](O)[C@H](O)C(=O)[O-])[C@@H](O)C(=O)[O-]	O[C@@H]([C@H](O)[C@H](O)C(=O)[O-])[C@@H](O)C(=O)[O-]	OC(C(O)C(O)C(=O)[O-])C(O)C(=O)[O-]	C6H8O8	208.12292		
from NCGCCanonicalForm.java	OC[C@H]([C@@H]([C@H]([C@H]([C@H](C(=O)[O-])O)O)O)O)O	GLUCOHEPTONATE		OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)[O-]	OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)[O-]	OCC(O)C(O)C(O)C(O)C(O)C(=O)[O-]	C7H13O8	225.17332		
from NCGCCanonicalForm.java	OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	GLUCONATE		OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]	OCC(O)C(O)C(O)C(O)C(=O)[O-]	C6H11O7	195.14734		
from NCGCCanonicalForm.java	OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(O)O1	GLUCOSIDE		OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	OCC1OC(O)C(O)C(O)C1O	C6H12O6	180.15588		
from NCGCCanonicalForm.java	OCC(=O)[O-]	GLYCOLATE		OCC(=O)[O-]	OCC(=O)[O-]	OCC(=O)[O-]	C2H3O3	75.04342		
from NCGCCanonicalForm.java	[O-]C(C=O)=O	GLYOXYLATE		[O-]C(=O)C=O	[O-]C(=O)C=O	[O-]C(=O)C=O	C2HO3	73.02754		
from NCGCCanonicalForm.java	CCCCCCC(=O)[O-]	HEPTANOATE		CCCCCCC(=O)[O-]	CCCCCCC(=O)[O-]	CCCCCCC(=O)[O-]	C7H13O2	129.17692		
from NCGCCanonicalForm.java	CCCCCC(=O)[O-]	HEXANOATE		CCCCCC(=O)[O-]	CCCCCC(=O)[O-]	CCCCCC(=O)[O-]	C6H11O2	115.15033		
from NCGCCanonicalForm.java	[O-]C(CNC(c1ccccc1)=O)=O	HIPPURATE		[O-]C(=O)CNC(=O)c1ccccc1	[O-]C(=O)CNC(=O)c1ccccc1	[O-]C(=O)CNC(=O)c1ccccc1	C9H8NO3	178.16472		
from NCGCCanonicalForm.java	OC(\C=C\C(=O)O)=O	FUMARATE		OC(=O)\C=C\C(=O)O	OC(=O)\C=C\C(=O)O	OC(=O)C=CC(=O)O	C4H4O4	116.07216		
from NCGCCanonicalForm.java	OC(C(=O)O)CC(=O)O	MALATE		OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	OC(CC(=O)O)C(=O)O	C4H6O5	134.08744		
from NCGCCanonicalForm.java	OC(\C=C/C(=O)O)=O	MALEATE		OC(=O)\C=C/C(=O)O	OC(=O)\C=C/C(=O)O	OC(=O)C=CC(=O)O	C4H4O4	116.07216		
from NCGCCanonicalForm.java	OC(CC(=O)O)=O	MALONATE		OC(=O)CC(=O)O	OC(=O)CC(=O)O	OC(=O)CC(=O)O	C3H4O4	104.06146		
from NCGCCanonicalForm.java	OC(C(=O)O)=O	OXALATE		OC(=O)C(=O)O	OC(=O)C(=O)O	OC(=O)C(=O)O	C2H2O4	90.03488		
from NCGCCanonicalForm.java	OC(CCC(=O)O)=O	SUCCINATE		OC(=O)CCC(=O)O	OC(=O)CCC(=O)O	OC(=O)CCC(=O)O	C4H6O4	118.08804		
from NCGCCanonicalForm.java	OS(=O)(=O)O	SULFATE		OS(=O)(=O)O	OS(=O)(=O)O	OS(=O)(=O)O	H2O4S	98.07847		
from NCGCCanonicalForm.java	OS(=O)O	SULFITE		OS(=O)O	OS(=O)O	OS(=O)O	H2O3S	82.07907		
from NCGCCanonicalForm.java	OS(=O)(=O)O	SULPHATE		OS(=O)(=O)O	OS(=O)(=O)O	OS(=O)(=O)O	H2O4S	98.07847		
from NCGCCanonicalForm.java	OS(=O)O	SULPHITE		OS(=O)O	OS(=O)O	OS(=O)O	H2O3S	82.07907		
from NCGCCanonicalForm.java	OC(C(=O)O)C(C(=O)O)O	TARTRATE		OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	OC(C(O)C(=O)O)C(=O)O	C4H6O6	150.08684		
from NCGCCanonicalForm.java	Oc1c(C(=O)[O-])cccc1	HYDROXYBENZOATE		Oc1ccccc1C(=O)[O-]	Oc1ccccc1C(=O)[O-]	Oc1ccccc1C(=O)[O-]	C7H5O3	137.1128		
from NCGCCanonicalForm.java	Oc1ccc(C(c2c(C(=O)[O-])cccc2)=O)cc1	o-(4-HYDROXYBENZOYL)BENZOATE		Oc1ccc(cc1)C(=O)c2ccccc2C(=O)[O-]	Oc1ccc(cc1)C(=O)c2ccccc2C(=O)[O-]	Oc1ccc(cc1)C(=O)c2ccccc2C(=O)[O-]	C14H9O4	241.21886	Yes	2
from NCGCCanonicalForm.java	OCCS(=O)(=O)[O-]	2-HYDROXYETHANESULFONATE		OCCS(=O)(=O)[O-]	OCCS(=O)(=O)[O-]	OCCS(=O)(=O)[O-]	C2H5O4S	125.12369		
from NCGCCanonicalForm.java	OCCS(=O)(=O)[O-]	2-HYDROXYETHANESULPHONATE		OCCS(=O)(=O)[O-]	OCCS(=O)(=O)[O-]	OCCS(=O)(=O)[O-]	C2H5O4S	125.12369		
from NCGCCanonicalForm.java	Oc1c(C(=O)[O-])c(c2cc1)cccc2	HYDROXYNAPHTHOATE		Oc1ccc2ccccc2c1C(=O)[O-]	Oc1ccc2ccccc2c1C(=O)[O-]	Oc1ccc2ccccc2c1C(=O)[O-]	C11H7O3	187.17148		
from NCGCCanonicalForm.java	OCCS(=O)(=O)O	ISETHIONATE		OCCS(=O)(=O)O	OCCS(=O)(=O)O	OCCS(=O)(=O)O	C2H6O4S	126.13163		
from NCGCCanonicalForm.java	CC(C(=O)[O-])C	ISOBUTYRATE		CC(C)C(=O)[O-]	CC(C)C(=O)[O-]	CC(C)C(=O)[O-]	C4H7O2	87.09718		
from NCGCCanonicalForm.java	CC(CCC(=O)[O-])C	ISOCAPROATE		CC(C)CCC(=O)[O-]	CC(C)CCC(=O)[O-]	CC(C)CCC(=O)[O-]	C6H11O2	115.15034		
from NCGCCanonicalForm.java	[O-]C(c1ccncc1)=O	ISONICOTINATE		[O-]C(=O)c1ccncc1	[O-]C(=O)c1ccncc1	[O-]C(=O)c1ccncc1	C6H4NO2	122.10146		
from NCGCCanonicalForm.java	[O-]C(c1cc(C(=O)[O-])ccc1)=O	ISOPHTHALATE		[O-]C(=O)c1cccc(c1)C(=O)[O-]	[O-]C(=O)c1cccc(c1)C(=O)[O-]	[O-]C(=O)c1cccc(c1)C(=O)[O-]	C8H4O4	164.11496		
from NCGCCanonicalForm.java	CCC(=O)[O-]	ISOPROPIONATE		CCC(=O)[O-]	CCC(=O)[O-]	CCC(=O)[O-]	C3H5O2	73.0706		
from NCGCCanonicalForm.java	C[CH]C	ISOPROPYL		C[CH]C	C[CH]C	C[CH]C	C3H7	43.08768		
from NCGCCanonicalForm.java	CC(C(=O)[O-])O	LACTATE		CC(O)C(=O)[O-]	CC(O)C(=O)[O-]	CC(O)C(=O)[O-]	C3H5O3	89.07		
from NCGCCanonicalForm.java	CCCCCCCCCCCC(=O)[O-]	LAURATE		CCCCCCCCCCCC(=O)[O-]	CCCCCCCCCCCC(=O)[O-]	CCCCCCCCCCCC(=O)[O-]	C12H23O2	199.30982		
from NCGCCanonicalForm.java	CCCCCCCCCCCCOS(=O)(=O)O	LAURILSULFATE		CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	C12H26O4S	266.39744		
from NCGCCanonicalForm.java	CCCCCCCCCCCCOS(=O)(=O)O	LAURILSULPHATE		CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	C12H26O4S	266.39744		
from NCGCCanonicalForm.java	CCCCCCCCCCCCOS(=O)(=O)O	LAURYLSULFATE		CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	C12H26O4S	266.39744		
from NCGCCanonicalForm.java	CCCCCCCCCCCCOS(=O)(=O)O	LAURYLSULPHATE		CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	CCCCCCCCCCCCOS(=O)(=O)O	C12H26O4S	266.39744		
from NCGCCanonicalForm.java	CC(CCC(=O)[O-])=O	LEVULINATE		CC(=O)CCC(=O)[O-]	CC(=O)CCC(=O)[O-]	CC(=O)CCC(=O)[O-]	C5H7O3	115.10727		
from NCGCCanonicalForm.java	NCCCC[C@@H](C(=O)[O-])N	LYSINATE		NCCCC[C@H](N)C(=O)[O-]	NCCCC[C@H](N)C(=O)[O-]	NCCCCC(N)C(=O)[O-]	C6H13N2O2	145.17962		
from NCGCCanonicalForm.java	OC(C(=O)[O-])CC(=O)[O-]	MALATE		OC(CC(=O)[O-])C(=O)[O-]	OC(CC(=O)[O-])C(=O)[O-]	OC(CC(=O)[O-])C(=O)[O-]	C4H4O5	132.07156		
from NCGCCanonicalForm.java	[O-]C(\C=C/C(=O)[O-])=O	MALEATE		[O-]C(=O)\C=C/C(=O)[O-]	[O-]C(=O)\C=C/C(=O)[O-]	[O-]C(=O)C=CC(=O)[O-]	C4H2O4	114.05627		
from NCGCCanonicalForm.java	[O-]C(CC(=O)[O-])=O	MALONATE		[O-]C(=O)CC(=O)[O-]	[O-]C(=O)CC(=O)[O-]	[O-]C(=O)CC(=O)[O-]	C3H2O4	102.04558		
from NCGCCanonicalForm.java	OC(c1ccccc1)C(=O)[O-]	MANDELATE		OC(C(=O)[O-])c1ccccc1	OC(C(=O)[O-])c1ccccc1	OC(C(=O)[O-])c1ccccc1	C8H7O3	151.13937		
from NCGCCanonicalForm.java	CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O	MEGLUMINE		CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	CNCC(O)C(O)C(O)C(O)CO	C7H17NO5	195.21358		
from NCGCCanonicalForm.java	CS(=O)(=O)O	MESYLATE		CS(=O)(=O)O	CS(=O)(=O)O	CS(=O)(=O)O	CH4O3S	96.10565		
from NCGCCanonicalForm.java	CS(=O)(=O)[O-]	METHANESULFONATE		CS(=O)(=O)[O-]	CS(=O)(=O)[O-]	CS(=O)(=O)[O-]	CH3O3S	95.09772		
from NCGCCanonicalForm.java	CS(=O)(=O)[O-]	METHANESULPHONATE		CS(=O)(=O)[O-]	CS(=O)(=O)[O-]	CS(=O)(=O)[O-]	CH3O3S	95.09772		
from NCGCCanonicalForm.java	CC(C=C1)(CC2)CCC12C(=O)[O-]	4-METHYLBICYCLO[2.2.2]OCT-2-ENE-1-CARBOXYLATE		CC12CCC(CC1)(C=C2)C(=O)[O-]	CC12CCC(CC1)(C=C2)C(=O)[O-]	CC12CCC(CC1)(C=C2)C(=O)[O-]	C10H13O2	165.20902		
from NCGCCanonicalForm.java	OC(c1c(O)c(Cc2c(c3cc(C(=O)O)c2O)cccc3)c(c4c1)cccc4)=O	4,4.-METHYLENEBIS(3-HYDROXY-2-NAPHTHOATE)		OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O	C23H16O6	388.36953		
