Agent,Alias Names,Originator,NSC Number,CAS #,Target,Status: Assigned For Synthesis/Delivered to DTP Repository/On Order ,Type,On Approved Drugs Plate,On Investigational Drugs Plate
Mitotane,CB-313,BMS,38721,53-19-0,Alkylator,Available,Approved,YES,NO
Dacarbazine,,Bayer,45388,3/4/42,Alkylator,Available,Approved,YES,NO
Methoxsalen,8-MOP,Johnson & Johnson,45923,298-81-7,Cytochrome P450,Available,Approved,YES,NO
Vinblastine,,Eli Lilly,49842,143-67-9,Microtubule ,Available,Approved,YES,YES
Cytarabine,U-19920A,Pfizer,63878,147-94-4,DNA polymerase,Available,Approved,YES,NO
Thalidomide,K-17,Celgene,66847,50-35-1,TNF-alpha,Available,Approved,YES,NO
Vincristine,,,67574,2068-78-2,Tubulin,Available,Approved,YES,NO
Megestrol acetate,PAR-100.2,BMS,71423,595-33-5,Progesteron Receptor,Available,Approved,YES,NO
Procarbazine,Ro-04-6467/1 ,Chugai,77213,366-70-1,Alkylator,Available,Approved,YES,NO
Lomustine,CCNU,BMS,79037,13010-47-4,Alkylator,Available,Approved,YES,NO
Daunorubicin,NDC-0082-4155,Sanofi,82151,23541-50-6,Antineoplastic,Available,Approved,YES,NO
Streptozocin,U-9889,Pfizer,85998,18883-66-4,Nitroso,Available,Approved,YES,NO
Arsenic Trioxide,,,92859,1327-53-3,Apoptotic,Available,Approved,YES,NO
Digoxin,,GlaxoSmithKline,95100,20830-75-5,Cardiac Glycoside,Available,Approved,NO,YES
Azacitidine,U-18496,Celgene Corporation,102816,320-67-2,DNA-alkyltransferase,Available,Approved,YES,NO
Cladribine,RJW-26251,Merck,105014,4291-63-8,Adenosine deaminase,Available,Approved,YES,NO
Ifosfamide,MJF-9325; Z-4942,Baxter,109724,3778-73-2,Alkylator,Available,Approved,YES,NO
2-Fluoro Ara A,,,118218,146-78-1,,Available,Approved,NO,NO
Cisplatin,,BMS,119875,15663-27-1,Alkylator,Available,Approved,YES,NO
Tretinoin,Retenoic Acid,Janssen,122758,302-79-4,Retenoid,Available,Approved,YES,NO
Teniposide,VM-26,BMS,122819,29767-20-2,Podophyllotoxin,Available,Approved,YES,NO
Doxorubicin,,Pfizer,123127,25316-40-9,DNA intercalating,Available,Approved,YES,NO
Bleomycin,,BMS,125066,9041-93-4,Antineoplastic,Available,Approved,YES,NO
Paclitaxel,BMS-181339 ; ANX-513; SDP-013,BMS,125973,33069-62-4,Microtubule,Available,Approved,YES,NO
Decitabine,E-7373,Eisai Inc,127716,2353-33-5,Antimetabolite,Available,Approved,YES,NO
Bendamustine,SDX-105,Cephalon,138783,3543-75-7,Alkylator,Available,Approved,YES,NO
Etoposide,VP-16,Novartis,141540,33419-42-0,Topo II,Available,Approved,YES,NO
Dexrazoxone,,,169780,24584-09-6,Chemoprotective,Available,Approved,YES,NO
Pimozide,R-6238,Janssen,170984,2062-78-4,5HT2A; DAT,Available,Approved,NO,YES
Tamoxifen,ICI-46474,AstraZeneca,180973,54965-24-1,Antiestrogen,Available,Approved,YES,YES
Pentostatin,CI-825; PD-81565,Pfizer,218321,53910-25-1,Antimetabolite,Available,Approved,YES,NO
Rapamycin,,Wyeth,226080,53123-88-9,mTor,Available,Approved,YES,YES
Carboplatin,JM-8,BMS,241240,41575-94-4,Alkylator,Available,Approved,YES,NO
Valrubicin,AD-32,Anthra,246131,56124-62-0,Antimitotic,Available,Approved,YES,NO
Oxaliplatin,RP-54780,Sanofi,266046,61825-94-3,DNA alkylating,Available,Approved,YES,NO
Mitoxantrone,CL-232315,Amgen,279836,65271-80-9,Topo II,Available,Approved,YES,NO
Amifostine,,AstraZeneca,296961,63717-27-1,Chemoprotective,Available,Approved,YES,NO
Fludarabine,SHT-586,Bayer,312887,75607-67-9,Purine Antagonist,Available,Approved,YES,NO
Temozolomide,CCRG-81045; Sch-52365,EORTC,362856,85622-93-1,Alkylator,Available,Approved,YES,NO
Imiquimod,DZ-2636; R-837; S-26308; TMX-101,3M,369100,99011-02-6,TLR7,Available,Approved,YES,NO
Carmustine,SK-27702; NPC-08,Eisai,409962,154-93-8,Alkylator,Available,Approved,YES,NO
Clofarabine,,Genzyme,606869,123318-82-1,DNA polymerase,Available,Approved,YES,NO
Vinorelbine,ANX-530; KW-2307; SDP-012,Novartis,608210,71486-22-1,Tubulin,Available,Approved,YES,NO
Topotecan,S-104864-A,GlaxoSmithKline,609699,119413-54-6,Topo I,Available,Approved,YES,NO
Gemcitabine,LY-188011,Eli Lilly,613327,122111-03-9,Inhibition of DNA synthesis,Available,Approved,YES,NO
Irinotecan,CPT-11,Pfizer,616348,100286-90-6,Topo I,Available,Approved,YES,NO
Docetaxel,ANX-514; RP-56976; SYP-0704A ,Sanofi,628503,114977-28-5,Tubulin,Available,Approved,YES,NO
Simvastatin,MK-733,Merck,633782,79902-63-9,HMG CoA,Available,Approved,NO,YES
Raltitrexed,ZD-1694,AstraZeneca,639186,112887-68-0,Dihydrofolate reductase,Available,Approved,NO,YES
7-Ethyl-10-hydroxycamptothecin,SN-38; EHC; HCPT,Yakult Honsha,673596,86639-52-3,Topo I,Available,Approved,NO,YES
Irofulven,MGI-114,Eisai,683863,158440-71-2,Alkylator,On Order,Approved,NO,NO
Temsirolimus,CCI-779,Wyeth,683864,162635-04-3,mTor,Available,Approved,NO,NO
Vorinostat,SAHA,Merck,701852,149647-78-9,HDAC,Available,Approved,YES,NO
Estramustine,Ro-21-8837,Roche,702294,52205-73-9,Alkylator,Available,Approved,YES,NO
Ixabepilone,BMS-247550,Bristol-Myers Squibb,710428,219989-84-1,Microtubule,On Order,Approved,YES,NO
Capecitabine,Ro-09-1978; RG-340; R-340,Chugai,712807,154361-50-9,Pyrimidine Antagonist,Available,Approved,YES,NO
Exemestane,FCE-24304,Pfizer,713563,107868-30-4,Aromatase,Available,Approved,YES,NO
Gefitinib,ZD-1839,AstraZeneca,715055,184475-35-2,EGFR,Available,Approved,YES,NO
Imatinib,STI-571,Novartis,716051,220127-57-1,Bcr-abl,Available,Approved,YES,NO
Erlotinib,OSI-774; CP-358774,OSI,718781,183319-69-9,EGFR,Available,Approved,YES,NO
Fulvestrant,ZD-9238,AstraZeneca,719276,129453-61-8,ER Antagonist,Available,Approved,YES,NO
Anastrozole,ZD-1033,AstraZeneca,719344,120511-73-1,Aromatase,Available,Approved,YES,NO
Letrozole,CGS-20267; FEM-345,Novartis,719345,112809-51-5,Aromatase,Available,Approved,YES,NO
Celecoxib,CEP-33222; SC-58635; YM-177,Pfizer,719627,169590-42-5,Cyclooxygenase,Available,Approved,YES,NO
Zolendronic acid,,,721517,118072-93-8,Bisphosphonate,Available,Approved,YES,NO
Dasatinib,BMS-354825 ,BMS,732517,863127-77-9,Bcr-Abl; c-Kit; PDGFR,Available,Approved,YES,NO
Everolimus ,RAD-101,Novartis,733504,159351-69-6,mTor,Available,Approved,YES,NO
Sildenafil,UK-92480,Pfizer,744009,171599-83-0,PDE5,Available,Approved,NO,YES
Nilotinib,AMN-107,Novartis,747599,641571-10-0,Bcr-abl,Available,Approved,YES,NO
Lenalidomide,CC-5013,Celgene,747972,191732-72-6,TNF-alpha,Available,Approved,YES,NO
Abiraterone,JNJ-2012082,BTG,749226,154229-18-2,C17-20 Lyase,Available,Approved,NO,NO
Depsipeptide,FK-228,Gloucester,754143,128517-07-7,HDAC,Available,Approved,YES,NO
Pralatrexate,,Allos Therapeutics,754230,146464-95-1,DHFR,Available,Approved,YES,NO
Itraconazole,R-51211,Janssen,754771,84625-61-6,P450,Available,Approved,NO,YES
Pemetrexed,LY-231514,Eli Lilly,755384,137281-23-3,Antimetabolite,Available,Approved,YES,NO
Fenoprofen,LY-69323,Eli Lilly,755388,53746-45-5,NSAI,Available,Approved,NO,YES
Golotimod,SCV-07,UC Berkeley,755401,229305-39-9,Stat-3,Available,Approved,NO,YES
Meclofenamate,,Pfizer,755402,6385-02-0,NSAI,Available,Approved,NO,YES
Diclofenac,,Novartis,755403,15307-79-6,Cyclooxygenase,Available,Approved,NO,YES
Flurbiprofen,,Abbott,755404,5104-49-4,NSAI,Available,Approved,NO,YES
Nelarabine,GW-506U78,GlaxoSmithKline,755985,121032-29-9,DNA intercalating,Available,Approved,YES,NO
Vismodegib,GDC-0449; RG-3616,Roche,755986,879085-55-9,SMO,Available,Approved,NO,YES
Crizotinib,PF-02341066, Pfizer,756645,877399-52-5,c-Met,Available,Approved,YES,NO
Bortezomib,PS-341; MLN-341,Millennium,756655,179324-69-7,Proteasome,Available,Approved,YES,NO
Chlorpromazine,,GlaxoSmithKline,756661,50-53-3 ,5-HT1; 5-HT2,Available,Approved,NO,YES
Tyrothricin,,,757363,1404-88-2,Gram Positive antibiotic,On Order,Approved,NO,NO
Axitinib,AG-013736 ,Pfizer,757441,319460-85-0,PDGFR; VEGFR,Available,Approved,NO,YES
Finasteride,MK-906; YM-152,Merck,757443,98319-26-7,5-Alpha Reductase,Available,Approved,NO,YES
Pipamperone,R-3345,Janssen,759178,1893-33-0,5-HT2A,On Order,Approved,NO,NO
Vandetanib,ZD-6474,AstraZeneca,760766,443913-73-3,"VEGFR, PDGFR, EGFR",Available,Approved,YES,YES
Cabazitaxel,TAX-258; RPR-116258A; TXD-258; XRP-6258,Sanofi,761432,183133-96-2,Tubulin,Available,Approved,YES,NO
Ruxolitinib,INC-424; INCB-18424,Incyte,763371,941678-49-5,JAK,Available,Approved,NO,NO
Tacrolimus,FK-506,Astellas,755767,104987-11-3,IL-2,Available,Approved,NO,YES
Sorafenib,BAY 43-9006; BAY 54-9085,Bayer,747971,284461-73-0,c-Kit; PDGFR; B-Raf; VEGFR,Available,Approved,YES,NO
Lapatinib,GW-572016,GlaxoSmithKline,745750,388082-77-7,EGFR; erbB2,Available,Approved,YES,NO
Sunitinib,SU-011248; PNU-290940AD; SU-010398,Pfizer,750690,557795-19-4,c-Kit; PDGFR; VEGFR,Available,Approved,YES,NO
 Pazopanib,GW-786034,GlaxoSmithKline,737754,635702-64-6,VEGFR,Available,Approved,YES,NO
Vemurafenib,PLX-4032,Plexxikon,761431,1029872-54-5,B-Raf,Available,Approved,YES,NO
Plerixafor,"AMD-3100, SID-791; JLK-169",Johnson Matthey,754363,110078-46-1,CXCR4,Available,Approved,NO,YES
Fluphenazine,S-94; SQ-4918,Sanofi,755764,69-23-8,5-HT 1B,Available,Approved,NO,YES
Raloxifene,LY-156758,Eli Lilly,747974,82640-04-8,SERM,Available,Approved,YES,NO
Carfilzomib,ONO-7057,Onyx,758252,868540-17-4,Proteasome,Available,Approved,NO,YES
