NSC	MF	MW	RS3_MF	RS3_MW	RS3_Num_Atoms	RS3_Num_Fragments	ERROR_MSG	Alt_MF	Alt_MW	Alt_Num_Atoms	Alt_Num_Fragments
67166	C41H35FeN6.Br	748	C41H35FeN6	667.6018	48	1		C41H35BrFeN6	752.5455	49	2
67168	C46H45FeN6.Br	818	C46H45FeN6	737.7347	53	1		C46H45BrFeN6	822.6784	54	2
67169	C41H30Cl5FeN6.Br	920	C41H30Cl5FeN6	839.8271	53	1		C41H30BrCl5FeN6	924.7708	54	2
67534	C15H18ClN2.Cl	297	C15H18ClN2	261.76982	18	1		C15H18Cl2N2	298.23076	19	2
67621	C18H18F3N5.ClH	398	C18H18F3N5	361.36422	26	1		C18H19ClF3N5	397.82516	27	2
67622	C21H27N5O2.ClH	418	C21H27N5O2	381.47137	28	1		C21H28ClN5O2	417.93231	29	2
67623	C19H22N6O.ClH	387	C19H22N6O	350.41758	26	1		C19H23ClN6O	386.87852	27	2
67624	C20H25N5.ClH	372	C20H25N5	335.446	25	1		C20H26ClN5	371.90694	26	2
67627	C9H18NO2.1/3Cr.I	316	C9H18NO2	172.24471	12	1		C9H18CrINO2	352.15323	14	3
67629	C9H18NO2.1/3Co.I	319	C9H18NO2	172.24471	12	1		C9H18CoINO2	359.09033	14	3
68037	C5H3FeN6.3Na	272	C5H2FeN6	201.95457	12	1		C5H2FeN6Na	224.94435	13	2
68041	C13H10FeN7O.3Na	405	C13H10FeN7O	336.10979	22	1		C13H10FeN7NaO	360.10751	23	2
68193	C20H18N4.2I	568	C20H28N4	324.46312	24	1		C20H18IN4	443.30407	25	2
68725	C15H12N15PtS3.Cl	729	C15H12N15PtS3	693.62928	34	1		C15H12ClN15PtS3	732.1061	35	2
68890	C17H22NO.I	383	C17H22NO	256.36268	19	1		C17H22INO	384.27509	20	2
69887	C18H24NO2.I	413	C18H24NO2	286.38865	21	1		C18H24INO2	414.30106	22	2
70075	C27H36ClN12PdS3.Cl	802	C27H36ClN12PdS3	766.72314	44	1		C27H36Cl2N12PdS3	805.19996	45	2
70076	C39H60ClN12PdS3.Cl	971	C39H63ClN12PdS3	938.06592	56	1		C39H63Cl2N12PdS3	973.51892	57	2
70088	C15H9BiN12OS3.2Na	724	C15H15BiN12OS3	684.53478	32	1		C15H15BiN12NaOS3	709.54043	33	2
70092	C15H9ClN12PdS3.2Na	641	C15H15ClN12PdS3	601.42799	32	1		C15H15ClN12NaPdS3	626.43365	33	2
70531	C21H21O12.Cl	501	C21H30O12	474.4557	33	1		C21H21ClO12	500.83723	34	2
70564	C19H21BrN2O.ClH	410	C19H21BrN2O	373.28684	23	1		C19H22BrClN2O	409.74778	24	2
70569	C19H22N2O.ClH	331	C19H22N2O	294.39078	22	1		C19H23ClN2O	330.85172	23	2
70571	C19H22N2O.ClH	331	C19H22N2O	294.39078	22	1		C19H23ClN2O	330.85172	23	2
70585	C21H27N3.2ClH	394	C21H27N3	321.45918	24	1		C21H28ClN3	357.92012	25	2
70611	C24H32N2O2.ClH	417	C24H32N2O2	380.52307	28	1		C24H33ClN2O2	416.98401	29	2
71083	C36H44N6O12.2ClH	826	C36H44N6O12	752.76756	54	1		C36H45ClN6O12	789.2285	55	2
71112	C10H8N8O2Pd.2Cl	450	C10H8N8O2Pd	378.64292	21	1		C10H8ClN8O2Pd	416.1118	22	2
71159	C2H7AsO2.Li	145	C2H7AsO2	137.99738	5	1		C2H7AsLiO2	144.93838	6	2
71326	C30H24N6Ru.2Cl	641	C30H54N6Ru	599.85996	37	1		C30H24ClN6Ru	611.1224	38	2
71959	C27H26N2O7S2.Na	578	C27H27N2O7S2	555.64247	38	1		C27H27N2NaO7S2	579.64019	39	2
71962	C32H25N9O7S2.2Na	758	C32H26N9O7R#S2	712.73494	51	2		C32H26*N9NaO7S2	735.72471	52	3
71963	C41H45N3O6S2.Na	763	C41H46N3O6S2	740.95044	52	1		C41H46N3NaO6S2	764.94815	53	2
72171	C7H9NO2.ClH	176	C7H10NO2R#	140.15979	11	2		C7H11*ClNO2	176.62074	12	3
72736	C7H14ClNO2.1/2Zn	212	C7H14ClNO2R#	179.64455	12	2		C7H15*ClNO2Zn	246.0615	13	3
72913	C10H18NO3.I	327	C10H18NO3	200.25482	14	1		C10H18INO3	328.16723	15	2
72933	C12H14CuN4S2.H	343	C12H16CuN4S2	345.97412	19	1					
72941	C26H22CuN2O8.2H	556	C26H22CuN2O8	556.02335	37	1					
73358	C29H21N5O7S.2Na	630	C29H21N5O7S	583.57134	42	1		C29H21N5NaO7S	606.56111	43	2
73414	C20H17N3O6S.Na	450	C20H18N3O6R#S	428.43842	31	2		C20H18*N3NaO6S	451.42819	32	3
73416	C32H22N4O8S3.2Na	733	C32H22N4O8S3	686.73408	47	1		C32H22N4NaO8S3	709.72385	48	2
73535	C12H18N4.2ClH	291	C12H18N4	218.29811	16	1		C12H19ClN4	254.75905	17	2
73596	C10H16N4.2ClH	265	C10H16N4	192.26084	14	1		C10H17ClN4	228.72178	15	2
73597	C10H12N4.2ClH	261	C10H12N4	188.22908	14	1		C10H13ClN4	224.69001	15	2
73628	C24H28ClN.ClH	402	C24H28ClN	365.93882	26	1		C24H29Cl2N	402.39976	27	2
73650	C25H28N2.ClH	393	C25H28N2	356.50322	27	1		C25H29ClN2	392.96416	28	2
73675	C21H24N.I	417	C21H24N	290.42196	22	1		C21H24IN	418.33437	23	2
73682	C22H23N.ClH	338	C22H23N	301.42472	23	1		C22H24ClN	337.88566	24	2
74311	C37H44N2O13S.4Na	849	C37H44N2O13S	756.81586	53	1		C37H44N2NaO13S	779.80563	54	2
74337	C6H11N5O3.BrH	282	C6H11N5O3	201.18324	14	1		C6H12BrN5O3	282.09518	15	2
75403	C17H20NO.I	381	C17H20NO	254.3468	19	1		C17H20INO	382.25921	20	2
75430	C27H32N2O7S2.1/2Ca	581	C27H33N2O7S2	561.69011	38	1		C27H33CaN2O7S2	602.77605	39	2
75431	C31H33N3O6S2.Na	631	C31H34N3O6S2	608.74816	42	1		C31H34N3NaO6S2	632.74587	43	2
75432	C32H35N3O7S2.Na	661	C32H37N3O7R#S2	639.78208	45	2		C32H37*N3NaO7S2	663.77979	46	3
75553	C25H21N5.ClH	428	C25H21N5	391.46774	30	1		C25H22ClN5	427.92868	31	2
75602	C15H21O8.Na	352	C15H22O8	330.33037	23	1		C15H22NaO8	353.32014	24	2
75778	C32H24N6O8S2.2Na	731	C32H24N6O8S2	684.69835	48	1		C32H24N6NaO8S2	707.68813	49	2
75930	C17H18FN5.ClH	348	C17H18FN5	311.35672	23	1		C17H19ClFN5	347.81766	24	2
75958	C22H17N3O5S.Na	458	C22H18N3O5R#S	436.46041	32	2		C22H18*N3NaO5S	459.45019	33	3
75965	C38H29N7O5S.Na	719	C38H29N7O5S	695.74576	51	1		C38H29N7NaO5S	718.73553	52	2
75967	C44H32N6O8S2.2Na	883	C44H32N6O8S2	836.89028	60	1		C44H32N6NaO8S2	859.88005	61	2
76027	C39H27N5O15S5.4Na	1058	C39H27N5O15S5	965.98118	64	1		C39H27N5NaO15S5	988.97095	65	2
76065	C12H28AlO3.Li	254	C12H28AlO3	247.33045	16	1		C12H28AlLiO3	254.27145	17	2
76946	C17H18Cl2CrNO5.H	440	C17H15Cl2CrNO5	436.20679	26	1		C17H15Cl2CrNO5	436.20679	26	1
76973	C19H23N5O2.ClH	390	C19H23N5O2	353.41821	26	1		C19H24ClN5O2	389.87916	27	2
77389	MoO4.2Na	206	MoO4	159.9376	5	1		MoNaO4	182.92737	6	2
77464	C10H15N4O13P3S.3Li	545	C10H15N4O13P3S	524.23138	31	1		C10H15LiN4O13P3S	531.17238	32	2
77527	C16H26NO.I	375	C16H26NO	248.38374	18	1		C16H26INO	376.29615	19	2
77528	C15H24NO.I	361	C15H24NO	234.35716	17	1		C15H24INO	362.26957	18	2
77529	C17H21N2O.I	396	C17H21N2O	269.36144	20	1		C17H21IN2O	397.27385	21	2
77530	C16H26NO.I	375	C16H26NO	248.38373	18	1		C16H26INO	376.29615	19	2
77714	C9H18Br2N2.2Br	474	C9H18Br2N2	314.06062	13	1		C9H18Br3N2	395.9805	14	2
78280	C20H27NO2S.ClH	382	C20H27NO2S	345.49888	24	1		C20H28ClNO2S	381.95982	25	2
78282	C21H27NO2.ClH	362	C21H27NO2	325.44457	24	1		C21H28ClNO2	361.90552	25	2
78484	C19H21N3O.ClH	344	C19H21N3O	307.38954	23	1		C19H22ClN3O	343.85048	24	2
78990	C19H33NO2.ClH	344	C19H33NO2	307.47082	22	1		C19H34ClNO2	343.93176	23	2
79196	C14H8O7V.2Na	385	C14H8O7V	339.15061	22	1		C14H8NaO7V	362.14038	23	2
79516	C26H24N6O2.2ClH	525	C26H24N6O2	452.50775	34	1		C26H25ClN6O2	488.96869	35	2
79517	C28H28N6O2.2ClH	553	C28H28N6O2	480.56092	36	1		C28H29ClN6O2	517.02185	37	2
79518	C28H28N6O2.2ClH	553	C28H28N6O2	480.56091	36	1		C28H29ClN6O2	517.02185	37	2
79535	Na.O3V	122	O3V	98.93969	4	1		NaO3V	121.92946	5	2
79542	C21H17N2O2.Cl	365	C21H26N2O2	338.44334	25	1		C21H17ClN2O2	365.83282	26	2
79544	C22H21N2O.Cl	365	C22H21N2O	329.41494	25	1		C22H21ClN2O	365.87588	26	2
79710	C22H16N4O7S2.2Na	559	C22H16N4O7S2	512.51504	35	1		C22H16N4NaO7S2	535.50481	36	2
79717	C29H21N5O8S2.2Na	678	C29H21N5O8S2	631.63574	44	1		C29H21N5NaO8S2	654.62551	45	2
79741	C38H27N7O14S4.4Na	1026	C38H27N7O14S4	933.91948	63	1		C38H27N7NaO14S4	956.90925	64	2
80828	C10H24N2O2S2.2ClH	341	C9H24N2O2R#2S	224.36405	16	3		C9H25*2ClN2O2S	260.825	17	4
80969	C52H48N14O2.6ClH	1120	C52H48N14O2	901.03012	68	1		C52H49ClN14O2	937.49106	69	2
80970	C52H50N16O2.6ClH	1150	C52H50N16O2	931.0594	70	1		C52H51ClN16O2	967.52034	71	2
80972	C52H50N16O2.6ClH	1150	C52H50N16O2	931.0594	70	1		C52H51ClN16O2	967.52034	71	2
81158	C10H22Cl2N2O2.2ClH	346	C9H23ClN2O2R#2	226.74411	16	3		C9H24*2Cl2N2O2	263.20506	17	4
81159	C10H22Cl2N2O2.2ClH	346	C9H23ClN2O2R#2	226.74411	16	3		C9H24*2Cl2N2O2	263.20506	17	4
81688	CH2O3.BH3.2K	154	CHO3	61.01684	4	1		CH5BKO3	114.9579	6	3
81988	C5H11NO2S.ClH	186	C5H11NO2S	149.21133	9	1		C5H12ClNO2S	185.67228	10	2
82056	C8H5Cl5N2S.ClH	375	C8H10ClN2R#S	201.69639	13	2		C8H11*Cl2N2S	238.15733	14	3
82160	C13H30N2.2Br	374	C13H30N2	214.39069	15	1		C13H30BrN2	296.31058	16	2
82394	C29H21N5O6S.2Na	614	C29H21N5O6S	567.57193	41	1		C29H21N5NaO6S	590.56171	42	2
82507	C22H23ClN4.ClH	415	C22H23ClN4	378.89782	27	1		C22H24Cl2N4	415.35876	28	2
82518	C28H21N3O8S2.2Na	638	C28H21N3O8S2	591.61164	41	1		C28H21N3NaO8S2	614.60141	42	2
82685	C17H28N2O2S.2ClH	397	C17H28N2O2S	324.48141	22	1		C17H29ClN2O2S	360.94235	23	2
82689	C21H28N2.ClH	345	C21H28N2	308.46042	23	1		C21H29ClN2	344.92136	24	2
82690	C22H29NO.BrH	404	C22H29NO	323.47176	24	1		C22H30BrNO	404.3837	25	2
82832	C12H28N6O2S2.4ClH	498	C11H27N6O2R#S2	339.50108	22	2		C11H28*ClN6O2S2	375.96202	23	3
82920	C20H27N2O.I	438	C20H27N2O	311.44117	23	1		C20H27IN2O	439.35359	24	2
83011	C19H26NO5.Br	428	C19H26NO5	348.41344	25	1		C19H26BrNO5	429.32538	26	2
83017	C24H28NO4.Cl	430	C24H28NO4	394.48342	29	1		C24H28ClNO4	430.94435	30	2
83049	C20H29NO3.ClH	368	C20H29NO3	331.44916	24	1		C20H30ClNO3	367.9101	25	2
83083	C10H22Cl2N2O2.2ClH	346	C9H21Cl2N2O2R#	260.18124	16	2		C9H22*Cl3N2O2	296.64218	17	3
83095	C21H28N2O.ClH	361	C21H28N2O	324.45981	24	1		C21H29ClN2O	360.92075	25	2
83851	C16H42N2OSi2.2Cl	406	C16H42N2OSi2	334.68848	21	1		C16H42ClN2OSi2	372.15736	22	2
84128	C9H7N4O2S2.Cl	303	C9H7N4O2S2	267.30748	17	1		C9H7ClN4O2S2	303.76842	18	2
84316	C10H24N2O2S2.2ClH	341	C9H23N2O2R#S2	255.42111	16	2		C9H24*ClN2O2S2	291.88206	17	3
84418	C10H24N2O2S2.2ClH	341	C9H23N2O2R#S2	255.42111	16	2		C9H24*ClN2O2S2	291.88206	17	3
84904	C28H54NO7.Cl.2Na	598	C28H54NO7	516.73085	36	1		C28H54ClNNaO7	576.18156	38	3
85701	C23H21N2O2.I	484	C23H30N2O2	366.4965	27	1		C23H21IN2O2	485.33744	28	2
85883	C14H18N3O3.BrH.Br	437	C14H18N3O3	276.31102	20	1		C14H19Br2N3O3	438.1349	22	3
85890	C5H12N2S.ClH	169	C5H12N2S	132.22717	8	1		C5H13ClN2S	168.68812	9	2
85927	C14H19N2O2.Br	327	C14H19N2O2	247.31286	18	1		C14H19BrN2O2	328.2248	19	2
85935	C14H19N2O3.Cl	299	C14H19N2O3	263.31226	19	1		C14H19ClN2O3	299.77319	20	2
86290	C22H32N4O7.ClH	501	C22H32N4O7	464.51208	33	1		C22H33ClN4O7	500.97301	34	2
86341	C17H14N2O.HI	390	C17H15N2OR#	263.3138	21	2		C17H16*IN2O	391.22621	22	3
87176	C5FeN6O.2Na	262	C5FeN6O	215.9381	13	1		C5FeN6NaO	239.9358	14	2
87293	C29H48NO3.I	586	C29H48NO3	458.69631	33	1		C29H48INO3	586.60872	34	2
87299	C28H24N4O2.2Cl	519	C28H42N4O2	466.65867	34	1		C28H24ClN4O2	485.98464	35	2
87526	C27H31O15.Cl	631	C27H40O15	604.59749	42	1		C27H31ClO15	630.97904	43	2
87835	C5H12NO2.Cl.1/2Mg	166	C5H12NO2	118.15428	8	1		C5H12ClMgNO2	178.92022	10	3
87846	C24H26N.I	455	C24H26N	328.46994	25	1		C24H26IN	456.38235	26	2
87847	C18H22NO.I	395	C18H22NO	268.37338	20	1		C18H22INO	396.28579	21	2
88690	C38H58N6O2.2ClH	704	C38H58N6O2	630.90612	46	1		C38H59ClN6O2	667.36706	47	2
89025	C16H14O10S3.2Na	508	C16H14O10S3	462.47136	29	1		C16H14NaO10S3	485.46113	30	2
89346	C10H15N5O10P2S.3Li	480	C10H15N5O10P2S	459.26612	28	1		C10H15LiN5O10P2S	466.20712	29	2
90270	C18H21N5S.ClH	376	C18H21N5S	339.45784	24	1		C18H22ClN5S	375.91878	25	2
90774	C10H17NO9S2.K	398	C10H17NO9S2	359.37328	22	1		C10H17KNO9S2	398.47158	23	2
91299	C10H16N5O13P3S.4Na	631	C10H16N5O13P3S	539.24602	32	1		C10H16N5NaO13P3S	562.23579	33	2
91559	C6H18Cl2CoN4.Cl	312	C6H14Cl2CoN4	272.04136	13	1		C6H14Cl3CoN4	307.49436	14	2
91560	C6H18Cl2CoN4.Cl	312	C6H14Cl2CoN4	272.04136	13	1		C6H14Cl3CoN4	307.49436	14	2
91694	C31H48N6O9.ClH	685	C31H48N6O9	648.74762	46	1		C31H49ClN6O9	685.20856	47	2
92399	C10H12CoN2O8.1/2Ba	416	C10H12CoN2O8	347.14408	21	1		C10H12BaCoN2O8	486.48695	22	2
92947	C54H74N8O10.2ClH	1068	C54H74N8O10	995.21296	72	1		C54H75ClN8O10	1031.6739	73	2
93037	C49H47N15O4.5ClH	1092	C49H47N15O4	909.99558	68	1		C49H48ClN15O4	946.45652	69	2
93099	C17H26NO3.Cl	328	C17H26NO3	292.39324	21	1		C17H26ClNO3	328.85418	22	2
93567	C17H21N2O4Si.H	346	C17H21N2O4Si	345.44514	24	1		C17H21N2O4Si	345.44514	24	1
93615	C52H70N8O10.2ClH	1040	C52H70N8O10	967.1598	70	1		C52H71ClN8O10	1003.62074	71	2
93756	C13H11BrN2O.BrH	372	C13H12BrN2OR#	292.15118	18	2		C13H13*Br2N2O	373.06312	19	3
93997	Cl4Ga.H4N	230	Cl4Ga	211.535	5	1		Cl4GaH3N	228.56552	6	2
93998	Cl4Ga.Ga	282	Cl4Ga	211.535	5	1		Cl4Ga2	281.258	6	2
94630	C16H24N6O5.2BrH	542	C16H24N6O5	380.39896	27	1		C16H25BrN6O5	461.3109	28	2
94928	C3H4FNO3.H4N	139	C3H4FNO3	121.06716	8	1		C3H7FN2O3	138.09768	9	2
94929	C3H3F2NO3.H4N	157	C3H3F2NO3	139.05762	9	1		C3H6F2N2O3	156.08814	10	2
95098	C25H41NO9.ClH	536	C25H41NO9	499.59433	35	1		C25H42ClNO9	536.05527	36	2
95180	C28H30NO.I	523	C28H30NO	396.5439	30	1		C28H30INO	524.45631	31	2
95405	C4H6N4O2.H4N	160	C4H6N4O2	142.11603	10	1		C4H9N5O2	159.14656	11	2
95657	C54H57N15O4.5ClH	1162	C54H57N15O4	980.12848	73	1		C54H58ClN15O4	1016.58942	74	2
95658	C54H57N15O4.5ClH	1162	C54H57N15O4	980.12848	73	1		C54H58ClN15O4	1016.58942	74	2
96211	C19H32NO.I	417	C19H32NO	290.46348	21	1		C19H32INO	418.37589	22	2
96235	C21H32ClNO2.ClH	402	C21H32ClNO2	365.93728	25	1		C21H33Cl2NO2	402.39822	26	2
96256	C22H35NO.ClH	366	C22H35NO	329.51939	24	1		C22H36ClNO	365.98033	25	2
96261	C22H37NO.ClH	368	C22H37NO	331.53527	24	1		C22H38ClNO	367.99621	25	2
96306	C31H31Cl2N3.ClH	553	C31H31Cl2N3	516.50393	36	1		C31H32Cl3N3	552.96487	37	2
96352	C30H48N4.C30H48N4	929	C60H96N8R#2	929.45784	70	3		C60H98*2N8	931.47372	70	4
96375	C30H30ClN3.ClH	505	C30H30ClN3	468.0323	34	1		C30H31Cl2N3	504.49324	35	2
97035	C15H24N.I	345	C15H24N	218.35776	16	1		C15H24IN	346.27017	17	2
97171	CdI4.2K	698	CdI4	620.02888	5	1		CdI4K	659.12718	6	2
97292	C18H14O3S.Na	333	C18H15O3R#S	311.3749	23	2		C18H15*NaO3S	334.36467	24	3
97333	C6CoO12.3K	440	C6CoO12	322.99019	19	1		C6CoKO12	362.08849	20	2
97345	C10H12HgN2O8.2H	491	C10H14HgN2O8	490.81675	21	1		C10H14HgN2O8	492.83263	21	1
97454	C17H20NO.I	381	C17H20NO	254.34679	19	1		C17H20INO	382.25921	20	2
97473	C23H26NO.I	459	C23H26NO	332.45864	25	1		C23H26INO	460.37105	26	2
98553	C17H20P.Br	335	C17H21P	256.3224	18	1		C17H21BrP	336.2264	19	2
98971	C4H12N.C8H15B9I	410	C10H17NR#	151.24868	12	2					
98973	C4H12N.C4H15B9I	362	C6H19INR#	232.12623	9	2					
98977	C4H12N.C2H11B9I	333	C4H13INR#	202.05719	7	2					
98978	C4H12N.C4H15B9Br	315	C6H21BrNR#	187.14164	9	2					
98984	C8H15B9.C18H15P	471	C24H20PR#	339.38936	26	2					
99206	C7H11NO2.H4N	159	C7H11NO2	141.16773	10	1		C7H14N2O2	158.19825	11	2
99277	C18H22BrN.BrH	413	C18H22BrN	332.27798	20	1		C18H23Br2N	413.18992	21	2
99289	C4H12N.C8H16B9	284	C10H17NR#	151.24868	12	2					
99417	C17H23N2O2.I	414	C17H23N2O2	287.37672	21	1		C17H23IN2O2	415.28913	22	2
100341	C26H30N2O2.2I	656	C26H30N2O2	402.5286	30	1		C26H30IN2O2	531.44895	31	2
100643	C6H9ClO2.1/3Rh	183	C6H9ClO2	148.58746	9	1		C6H9ClO2Rh	251.49296	10	2
100647	C6H18CoN6O4.Cl	333	C6H14CoN6O4	293.14636	17	1		C6H14ClCoN6O4	328.59935	18	2
100648	C6H18CoN6O4.Cl	333	C6H15CoN6O4	294.1543	17	1		C6H15ClCoN6O4	330.61523	18	2
100651	C7H18CoN4O3.Cl	301	C7H14CoN4O3	261.14426	15	1		C7H14ClCoN4O3	296.59726	16	2
100652	C7H18CoN4O3.Cl	301	C7H15CoN4O3	262.1522	15	1		C7H15ClCoN4O3	298.61314	16	2
100655	C10H10O2.1/3Rh	196	C10H10O2	162.18519	12	1		C10H10O2Rh	265.09069	13	2
100720	C28H30NO.I	523	C28H30NO	396.5439	30	1		C28H30INO	524.45631	31	2
101069	C24H19N2.I	462	C24H24N2	340.46076	26	1		C24H19IN2	463.33347	27	2
101180	C4H16B9.C3H9N	221	C7H17NR#	115.21658	9	2					
101181	C8H16B9.C3H9N	269	C9H14NR#	136.21416	11	2					
101223	C9H16ClNO2.ClH	242	C9H17ClNO2R#	206.68977	14	2		C9H18*Cl2NO2	243.15071	15	3
101444	C23H40NO.I	473	C23H40NO	346.56979	25	1		C23H40INO	474.4822	26	2
101553	C21H31HgN2O2Sn.I	790	C21H36HgN2O2Sn	667.82274	27	1		C21H31HgIN2O2Sn	790.69545	28	2
101554	C25H38HgNO2Sn.I	831	C25H43HgNO2Sn	708.91442	30	1		C25H38HgINO2Sn	831.78713	31	2
101555	C30H49HgN2O2Sn.Br	869	C30H49HgN2O2Sn	789.02226	36	1		C30H49BrHgN2O2Sn	869.9342	37	2
101556	C32H53HgN2O2Sn.I	944	C32H53HgN2O2Sn	817.07542	38	1		C32H53HgIN2O2Sn	944.98783	39	2
102004	C21H24N2O2.ClH	373	C21H24N2O2	336.42746	25	1		C21H25ClN2O2	372.8884	26	2
102526	C15H23FN.I	363	C15H23FN	236.34822	17	1		C15H23FIN	364.26063	18	2
102569	C2H6Sn.2Cl	220	C2H6Sn	148.77904	3	1		C2H6ClSn	184.23204	4	2
102578	K.1/2O3Sn	122	H2O3Sn	168.72408	4	1		H2KO3Sn	207.82237	5	2
102807	C5H3FeN6.H4N.2Na	267	C5H2FeN6	201.95457	12	1		C5H5FeN7Na	241.97487	14	3
102949	C4H6CrN6S4.H4N	336	C4H4CrN6S4	316.37086	15	1		C4H7CrN7S4	333.40138	16	2
103939	C30H44N2.2ClH	506	C30H44N2	432.68375	32	1		C30H45ClN2	469.14469	33	2
104054	C22H30NO3.I	483	C22H30NO3	356.47849	26	1		C22H30INO3	484.3909	27	2
104057	C17H26NO2.I	403	C17H26NO2	276.39384	20	1		C17H26INO2	404.30625	21	2
104274	C28H29ClN2.2ClH	502	C28H29ClN2	428.99626	31	1		C28H30Cl2N2	465.4572	32	2
104279	C30H31F3N2OS.2ClH	598	C30H31F3N2OS	524.64014	37	1		C30H32ClF3N2OS	561.10108	38	2
104343	C22H26F3NO.ClH	414	C22H26F3NO	377.44314	27	1		C22H27ClF3NO	413.90408	28	2
104350	C20H25NO.ClH	332	C20H25NO	295.4186	22	1		C20H26ClNO	331.87953	23	2
104354	C19H23NO.ClH	318	C19H23NO	281.39202	21	1		C19H24ClNO	317.85296	22	2
104356	C22H29NO.ClH	360	C22H29NO	323.47175	24	1		C22H30ClNO	359.9327	25	2
104358	C21H27N.ClH	330	C21H27N	293.44578	22	1		C21H28ClN	329.90672	23	2
104360	C20H25NO.ClH	332	C20H25NO	295.4186	22	1		C20H26ClNO	331.87954	23	2
104361	C23H31NO.ClH	374	C23H31NO	337.49834	25	1		C23H32ClNO	373.95928	26	2
104367	C21H27NO.ClH	346	C21H27NO	309.44518	23	1		C21H28ClNO	345.90612	24	2
104370	C19H23NO.ClH	318	C19H23NO	281.39202	21	1		C19H24ClNO	317.85296	22	2
104373	C20H25N.ClH	316	C20H25N	279.4192	21	1		C20H26ClN	315.88014	22	2
104374	C20H24N2O.ClH	345	C20H24N2O	308.41735	23	1		C20H25ClN2O	344.8783	24	2
104378	C20H26N2.2ClH	367	C20H26N2	294.43384	22	1		C20H27ClN2	330.89478	23	2
104379	C19H23N.ClH	302	C19H23N	265.39262	20	1		C19H24ClN	301.85356	21	2
104380	C22H29N.ClH	344	C22H29N	307.47235	23	1		C22H30ClN	343.9333	24	2
104382	C21H27N.ClH	330	C21H27N	293.44578	22	1		C21H28ClN	329.90672	23	2
104386	C20H23N.ClH	314	C20H23N	277.40332	21	1		C20H24ClN	313.86426	22	2
104387	C20H25N.ClH	316	C20H25N	279.4192	21	1		C20H26ClN	315.88014	22	2
104388	C21H27N.ClH	330	C21H27N	293.44578	22	1		C21H28ClN	329.90672	23	2
104393	C21H25N.ClH	328	C21H25N	291.42989	22	1		C21H26ClN	327.89083	23	2
104394	C20H23N.ClH	314	C20H23N	277.40332	21	1		C20H24ClN	313.86426	22	2
104401	C18H20FNO.ClH	322	C18H20FNO	285.3559	21	1		C18H21ClFNO	321.81684	22	2
104403	C21H26ClN.ClH	364	C21H26ClN	327.89083	23	1		C21H27Cl2N	364.35178	24	2
104426	C19H21N.ClH	300	C19H21N	263.37674	20	1		C19H22ClN	299.83768	21	2
104708	C19H27NO4.ClH	370	C19H27NO4	333.42197	24	1		C19H28ClNO4	369.88291	25	2
104881	C16H22N12O4S2.2ClH	583	C16H22N12O4S2	510.55388	34	1		C16H23ClN12O4S2	547.01482	35	2
105875	C18H10MnN2O8S2.2H	503	C18H30MnN2O8S2	521.50744	31	1		C18H12MnN2O8S2	505.3804	31	1
107238	C6NO5W.Na	373	C6NO5W	349.90789	13	1		C6NNaO5W	372.89766	14	2
107343	C24H26ClN3.ClH	428	C24H26ClN3	391.93633	28	1		C24H27Cl2N3	428.39727	29	2
107487	C31H38N6O2.ClH	563	C31H38N6O2	526.67241	39	1		C31H39ClN6O2	563.13335	40	2
107722	C14H18N7O2.Cl	352	C14H18N7O2	316.33842	23	1		C14H18ClN7O2	352.79936	24	2
109158	C13H21N4O3PS.Na	367	C13H21N4O3PS	344.3696	22	1		C13H21N4NaO3PS	367.35937	23	2
109479	C19H14N2O2.2BrH	464	C10H9NOR#2	159.18455	14	2		C10H10*2BrNO	240.0965	15	3
109777	C18H11ClHgNO4.H	542	C18H11ClHgNO4	541.32723	25	1		C18H11ClHgNO4	541.32723	25	1
110046	C13H19N2.Cl	239	C13H19N2	203.30336	15	1		C13H19ClN2	239.7643	16	2
110145	C13H17Cl2N2.Cl	308	C13H17Cl2N2	272.19348	17	1		C13H17Cl3N2	308.65441	18	2
110173	C14H19N2O.Br	311	C14H19N2O	231.31346	17	1		C14H19BrN2O	312.2254	18	2
110541	C12H20Cl4N4.2Cl	433	C12H20Cl4N4	362.126	20	1		C12H20Cl5N4	399.59488	21	2
111117	C12H16NO3S2.Br.K	405	C12H16NO3S2	286.39033	18	1		C12H16BrKNO3S2	406.40058	20	3
111335	C26H18N4O2.2ClH	491	C26H18N4O2	418.44672	32	1		C26H19ClN4O2	454.90766	33	2
111336	C28H22N4O4.2ClH	551	C28H22N4O4	478.49868	36	1		C28H23ClN4O4	514.95962	37	2
111497	C36H54N2O2.2ClH	620	C36H54N2O2	546.82615	40	1		C36H55ClN2O2	583.28709	41	2
112176	C32H46Cl2N4O2.2Cl	661	C32H46Cl2N4O2	589.63923	40	1		C32H46Cl3N4O2	627.10811	41	2
112177	C30H42Cl2N4O2.2I	815	C30H42Cl2N4O2	561.58607	38	1		C30H42Cl2IN4O2	690.50642	39	2
112408	C16H14N2O.ClH	287	C16H14N2O	250.29516	19	1		C16H15ClN2O	286.7561	20	2
112454	C25H18ClN5.ClH	460	C25H18ClN5	423.89692	31	1		C25H19Cl2N5	460.35786	32	2
112585	C20H19N2O2.Cl	355	C20H19N2O2	319.37705	24	1		C20H19ClN2O2	355.838	25	2
112642	C19H22ClN5.2ClH	429	C19H23ClN5R#	356.87242	26	2		C19H24*Cl2N5	393.33336	27	3
